Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
a60891c8653fdbe0a77c7e364269bd2e9c39ad7bbc75708f7180f6560cd214eb,2017-02,City of London Police,City of London Police,-0.108164,51.516571,On or near New Fetter Lane,E01032740,City of London 001G,Theft from the person,Investigation complete; no suspect identified,
5310d24e38086aabb2c2b40fe58025e8896dbd9affd0ef1257efcbfaf641967e,2017-02,City of London Police,City of London Police,-0.108283,51.517526,On or near Supermarket,E01032740,City of London 001G,Theft from the person,Investigation complete; no suspect identified,
b4ea9ff1bd1bdcb4ba41e22de672c5f28b502baea3661f18d2867827d3faaa91,2017-02,City of London Police,City of London Police,-0.112939,51.518231,On or near Southampton Buildings,E01032740,City of London 001G,Theft from the person,Investigation complete; no suspect identified,
f4c4f057d8b110e82f57d94dbacdb8831c177b806138f29a38cb28a2b6181675,2017-02,City of London Police,City of London Police,-0.108164,51.516571,On or near New Fetter Lane,E01032740,City of London 001G,Theft from the person,Investigation complete; no suspect identified,
42ec832d996908086bfba6f99455ad55cba2988f50eb14231aa92f1e913c4b3f,2017-02,City of London Police,City of London Police,-0.108164,51.516571,On or near New Fetter Lane,E01032740,City of London 001G,Theft from the person,Investigation complete; no suspect identified,
7199362cb0ac2bf618ded45c6bf5694148626d759d34b520ca47296faccb8004,2017-02,City of London Police,City of London Police,-0.105134,51.513869,On or near Bride Lane,E01032740,City of London 001G,Theft from the person,Investigation complete; no suspect identified,
53a79ec03072a2099ff7a3f60a8c83d5fbe3f0928bb2e3ef2f8c51bbd47bf385,2017-02,City of London Police,City of London Police,-0.108283,51.517526,On or near Supermarket,E01032740,City of London 001G,Theft from the person,Investigation complete; no suspect identified,
0ca131af35fed0d04f9c8fcd6ee30711053c0381d5597d5f64a282e0774ad4b4,2017-02,City of London Police,City of London Police,-0.107147,51.517130,On or near St Andrew Street,E01032740,City of London 001G,Theft from the person,Investigation complete; no suspect identified,
9c6cfc4ba305b856723fd83ca234ea7053ef8df669caba90dfb093436f376e18,2017-02,City of London Police,City of London Police,-0.105134,51.513869,On or near Bride Lane,E01032740,City of London 001G,Theft from the person,Investigation complete; no suspect identified,
5f6349398d7a27a8cb986966b26d06ef300bcf0b50859d7131e078429baded83,2017-02,City of London Police,City of London Police,-0.107672,51.517678,On or near A40,E01032740,City of London 001G,Theft from the person,Investigation complete; no suspect identified,
c893aabd04e7fb89a7e026125c44f894fa27f25f90e68eb401e1cfb09ebb962e,2017-02,City of London Police,City of London Police,-0.102741,51.513885,On or near Pageantmaster Court,E01032740,City of London 001G,Violence and sexual offences,Offender given a caution,
c9e6552c887efdea3175df80ca1b3bdeff2f377a0f8c5b56c24930171a83b316,2017-02,City of London Police,City of London Police,-0.109709,51.517909,On or near High Holborn,E01032740,City of London 001G,Violence and sexual offences,Investigation complete; no suspect identified,
8188ac642fb42251a72ee3d2774a770cf5ca70a467c45930ad65616435046cd4,2017-02,City of London Police,City of London Police,-0.098148,51.517938,On or near Albion Way,E01032740,City of London 001G,Violence and sexual offences,Awaiting court outcome,
