Full fund name;Fund ISIN;Fund code;Asset Class;Morningstar rating;Morningstar category;OCF/TER(%);Eligible for ISA;Eligible for SIPP;Eligible for general investment account;Performance in % (Current Yr-4);Performance in % (Current Yr-3);Performance in % (Current Yr-2);Performance in % (Current Yr-1);Performance in % (Current Yr)
Threadneedle UK Mid 250 Fund RDR Z Acc;GB00B8BX5X11;THMIZ;UK;;UK Mid-Cap Equity;0.89;Yes;Yes;Yes;29.66;13.30;21.97;-10.48;29.46
Fidelity Strategic Bond Fund Y-Income-Gross;GB00B469MF76;YGRSD;Bonds;;Global Flexible Bond - GBP Hedged;0.66;Yes;Yes;Yes;6.86;8.27;3.26;4.12;3.12
Fidelity MoneyBuilder Income Fund Y Accumulation;GB00BBGBFM09;YCBA;Bonds;;GBP Corporate Bond;0.56;Yes;Yes;Yes;5.54;6.35;5.60;6.80;5.21
Baillie Gifford Japanese Fund B Acc;GB0006011133;BFJBA;Japan;5;Japan Large-Cap Equity;0.68;Yes;Yes;Yes;37.62;3.48;16.37;9.54;34.63
JPM Global High Yield Bond Fund C Income;GB00B235R159;SPHYI;Bonds;;Global High Yield Bond - GBP Hedged;0.73;Yes;Yes;Yes;;9.34;-1.30;-0.42;10.85
JPM Global High Yield Bond Fund C Accumulation;GB00B235QY15;SPHYA;Bonds;;Global High Yield Bond - GBP Hedged;0.73;Yes;Yes;Yes;8.73;9.21;-1.23;-0.44;10.72
Invesco Perpetual High Yield Y Inc;GB00BJ04GF14;IHYYI;Bonds;;GBP High Yield Bond;0.7;Yes;Yes;Yes;;;2.26;-3.05;12.99
Fidelity MoneyBuilder Income Fund Y-Income;GB00B3Z9PT62;YCB;Bonds;;GBP Corporate Bond;0.56;Yes;Yes;Yes;5.96;6.22;5.59;6.84;5.23
M&G Optimal Income Fund I Inc;GB00B1H05601;MEOII;Bonds;4;GBP Cautious Allocation;0.91;Yes;Yes;Yes;10.03;9.51;0.85;1.23;10.32
Lazard US Equity Concentrated Fund C Acc GBP;IE00BDC5DB54;LZUCA;North America;;US Large-Cap Blend Equity;0.92;Yes;Yes;Yes;;;;;
